,max,min,mean,std,fg,mean_magnitude,variance_magnitude,mean_power,variance_power,peak_magnitude,peak_frequency,energy_focus,center_frequency,total_energy,total_variance,励磁波形
0,0.7417088454465968,-0.4943900792902473,-0.02969867815582079,0.4429945319290107,1.2360989247368441,1.0221869107763997,200.8123287259209,201.85719480648348,17088202.90144095,305.6143401678847,1.0,0.9999999999999999,-4.440892098500626e-16,206701.76748183908,205631.824615343,0
1,0.7265652191510107,-0.4663094253714332,-0.030990689882964925,0.4179192372592367,1.1928746445224438,0.9877402159828229,178.85608687803256,179.83171761230233,13118429.123874715,285.89276303466835,1.0,1.0000000000000002,0.0,184147.67883499758,183148.63296310534,0
2,0.6729297882870409,-0.3776615993894947,-0.028667414374876028,0.3587257036909212,1.0505913876765356,0.8962745677489399,131.81078586194533,132.61409396273888,6450429.0671054255,238.69299999309658,1.0,1.0000000000000002,-3.9968028886505635e-15,135796.8322178446,134974.24472263202,0
3,0.7212751223913185,-0.4986510668785346,-0.04082730401296494,0.3841482168916976,1.2199261892698532,0.9535040138902611,151.9092327005897,152.81840260509455,8726287.929276757,257.59274427710466,1.0,0.9999999999999999,-2.453592884421596e-14,156486.04426761682,155555.05428540386,0
4,0.7343404714985553,-0.5746747995731453,-0.048558711514619046,0.3941663856749888,1.3090152710717007,0.9824091379866167,160.5453624590853,161.51049017348492,9623707.115988083,263.8213888672471,1.0,1.0,-1.1546319456101628e-14,165386.74193764856,164398.45115810336,0
5,0.8421922629387445,-0.9574089472312284,-0.07894697663055386,0.5410941874233802,1.799601210169973,1.267401990735996,304.58561005113137,306.1919178572529,37422283.9713798,371.27560167057413,1.0,1.0,-6.150635556423367e-14,313540.523885827,311895.6646923585,0
6,0.98848758482782,-1.8226331521775148,-0.11928410847879466,1.0199617159631742,2.811120737005335,2.1304480768822085,1075.3210059714193,1079.8598149797103,514698781.46508324,716.1875180455162,1.0,1.0,-4.318767565791859e-14,1105776.4505392234,1101128.7101147333,0
7,1.1972134342408378,-2.1421832708450474,-0.13869202518747514,1.213293541893938,3.3393967050858855,2.4908561712249977,1520.9039329060624,1527.1082973717917,1049593274.7094412,856.0808558183903,1.0,1.0,-3.241851231905457e-14,1563758.8965087146,1557405.627295808,0
8,1.695668200576058,-2.817782178355376,-0.17000344642443516,1.6365069716300993,4.513450378931434,3.269221985685137,2761.3377773581806,2772.0255897498673,3541691712.474903,1160.566140481717,1.0,1.0,-3.6415315207705135e-14,2838554.203903864,2827609.884014777,0
9,2.0401476512150003,-3.329684970616387,-0.20984007873349136,1.937408654123406,5.369832621831387,3.840286699545561,3873.979393421609,3888.727195356316,7028818493.951836,1377.6149834993853,1.0,0.9999999999999997,-2.842170943040401e-14,3982056.6480448674,3966954.8988637277,0
